Date,AverageTemperature,AverageTemperatureUncertainty,State,Country
1835-10-01,25.302,0.874,Puducherry,India
1835-11-01,24.448,2.093,Puducherry,India
1835-12-01,23.57,2.221,Puducherry,India
1836-01-01,24.249,0.759,Puducherry,India
1836-02-01,25.335,1.445,Puducherry,India
1836-03-01,26.948,2.132,Puducherry,India
1836-04-01,28.184,1.367,Puducherry,India
1836-05-01,29.943,2.347,Puducherry,India
1836-06-01,28.903,1.5,Puducherry,India
1836-07-01,27.429,1.161,Puducherry,India
1836-08-01,26.096,1.317,Puducherry,India
1836-09-01,26.637,1.958,Puducherry,India
1836-10-01,26.371,4.249,Puducherry,India
1836-11-01,24.223,1.774,Puducherry,India
1836-12-01,24.141,2.35,Puducherry,India
1837-01-01,24.841,1.876,Puducherry,India
1837-02-01,26.166,1.261,Puducherry,India
1837-03-01,27.604,2.796,Puducherry,India
1837-04-01,27.992,1.515,Puducherry,India
1837-05-01,28.367,1.644,Puducherry,India
1837-06-01,28.164,2.019,Puducherry,India
1837-07-01,27.5,0.959,Puducherry,India
1837-08-01,27.079,0.848,Puducherry,India
1837-09-01,26.728,1.858,Puducherry,India
1837-10-01,25.525,2.156,Puducherry,India
1837-11-01,24.644,2.547,Puducherry,India
1837-12-01,24.126,3.499,Puducherry,India
1838-01-01,23.386,2.6,Puducherry,India
1838-02-01,25.186,0.974,Puducherry,India
1838-03-01,27.284,1.628,Puducherry,India
1838-04-01,28.725,1.006,Puducherry,India
1838-05-01,29.328,0.676,Puducherry,India
1838-06-01,28.575,1.256,Puducherry,India
1838-07-01,28.582,3.2,Puducherry,India
1838-08-01,27.421,2.6,Puducherry,India
1838-09-01,27.138,1.686,Puducherry,India
1838-10-01,25.891,3.413,Puducherry,India
1838-11-01,24.641,2.281,Puducherry,India
1838-12-01,24.414,2.34,Puducherry,India
1839-01-01,25.18,1.683,Puducherry,India
1839-02-01,25.722,2.346,Puducherry,India
1839-03-01,27.331,2.034,Puducherry,India
1839-04-01,28.643,1.085,Puducherry,India
1839-05-01,29.162,0.639,Puducherry,India
1839-06-01,28.395,0.86,Puducherry,India
1839-07-01,27.455,2.563,Puducherry,India
1839-08-01,26.592,1.675,Puducherry,India
1839-09-01,26.303,0.901,Puducherry,India
1839-10-01,26.371,1.713,Puducherry,India
1839-11-01,24.267,1.949,Puducherry,India
1839-12-01,24.718,2.469,Puducherry,India
1840-01-01,24.583,2.679,Puducherry,India
1840-02-01,25.398,1.487,Puducherry,India
1840-03-01,27.209,0.853,Puducherry,India
1840-04-01,28.935,1.78,Puducherry,India
1840-05-01,29.755,1.077,Puducherry,India
1840-06-01,28.971,1.105,Puducherry,India
1840-07-01,27.646,0.826,Puducherry,India
1840-08-01,27.425,1.296,Puducherry,India
1840-09-01,26.137,0.779,Puducherry,India
1840-10-01,25.882,1.913,Puducherry,India
1840-11-01,24.121,3.672,Puducherry,India
1840-12-01,24.257,1.621,Puducherry,India
1841-01-01,24.669,2.319,Puducherry,India
1841-02-01,25.854,0.842,Puducherry,India
1841-03-01,26.974,3.193,Puducherry,India
1841-04-01,28.033,1.583,Puducherry,India
1841-05-01,28.582,2.012,Puducherry,India
1841-06-01,28.036,1.265,Puducherry,India
1841-07-01,28.494,1.073,Puducherry,India
1841-08-01,26.732,2.507,Puducherry,India
1841-09-01,26.636,0.942,Puducherry,India
1841-10-01,24.833,1.575,Puducherry,India
1841-11-01,24.741,1.055,Puducherry,India
1841-12-01,24.221,2.097,Puducherry,India
1842-01-01,24.481,1.415,Puducherry,India
1842-02-01,25.612,1.944,Puducherry,India
1842-03-01,27.755,2.05,Puducherry,India
1842-04-01,28.803,1.516,Puducherry,India
1842-05-01,28.943,0.802,Puducherry,India
1842-06-01,28.458,0.804,Puducherry,India
1842-07-01,27.97,1.677,Puducherry,India
1842-08-01,26.885,0.601,Puducherry,India
1842-09-01,25.912,1.384,Puducherry,India
1842-10-01,25.565,0.935,Puducherry,India
1842-11-01,24.576,1.166,Puducherry,India
1842-12-01,24.454,1.232,Puducherry,India
1843-01-01,24.816,1.416,Puducherry,India
1843-02-01,25.737,1.891,Puducherry,India
1843-03-01,27.246,1.686,Puducherry,India
1843-04-01,28.13,0.965,Puducherry,India
1843-05-01,28.003,2.048,Puducherry,India
1843-06-01,27.672,1.441,Puducherry,India
1843-07-01,27.519,0.723,Puducherry,India
1843-08-01,27.17,1.159,Puducherry,India
1843-09-01,26.64,0.979,Puducherry,India
1843-10-01,25.231,1.482,Puducherry,India
1843-11-01,24.733,1.298,Puducherry,India
1843-12-01,23.799,2.359,Puducherry,India
1844-01-01,24.08,1.102,Puducherry,India
1844-02-01,25.096,1.157,Puducherry,India
1844-03-01,27.676,2.378,Puducherry,India
1844-04-01,28.989,1.36,Puducherry,India
1844-05-01,28.709,1.563,Puducherry,India
1844-06-01,28.76,0.495,Puducherry,India
1844-07-01,27.677,0.638,Puducherry,India
1844-08-01,27.272,2.103,Puducherry,India
1844-09-01,26.282,1.252,Puducherry,India
1844-10-01,25.261,1.437,Puducherry,India
1844-11-01,25.13,1.152,Puducherry,India
1844-12-01,24.427,1.497,Puducherry,India
1845-01-01,24.615,1.689,Puducherry,India
1845-02-01,25.831,2.837,Puducherry,India
1845-03-01,27.739,0.829,Puducherry,India
1845-04-01,28.981,0.827,Puducherry,India
1845-05-01,29.267,0.892,Puducherry,India
1845-06-01,28.02,1.157,Puducherry,India
1845-07-01,28.028,0.946,Puducherry,India
1845-08-01,27.588,0.444,Puducherry,India
1845-09-01,26.795,1.529,Puducherry,India
1845-10-01,25.835,0.909,Puducherry,India
1845-11-01,25.055,0.808,Puducherry,India
1845-12-01,24.465,2.26,Puducherry,India
1846-01-01,26.031,1.373,Puducherry,India
1846-02-01,26.265,0.915,Puducherry,India
1846-03-01,28.999,1.41,Puducherry,India
1846-04-01,28.739,1.325,Puducherry,India
1846-05-01,29.56,1.214,Puducherry,India
1846-06-01,29.016,1.61,Puducherry,India
1846-07-01,28.533,1.572,Puducherry,India
1846-08-01,27.782,1.217,Puducherry,India
1846-09-01,26.838,1.456,Puducherry,India
1846-10-01,25.568,0.979,Puducherry,India
1846-11-01,25.182,1.363,Puducherry,India
1846-12-01,24.835,1.043,Puducherry,India
1847-01-01,25.102,2.981,Puducherry,India
1847-02-01,26.085,1.386,Puducherry,India
1847-03-01,26.934,1.148,Puducherry,India
1847-04-01,29.05,1.013,Puducherry,India
1847-05-01,29.031,0.997,Puducherry,India
1847-06-01,28.374,1.217,Puducherry,India
1847-07-01,27.937,1.245,Puducherry,India
1847-08-01,27.278,0.995,Puducherry,India
1847-09-01,26.866,0.951,Puducherry,India
1847-10-01,25.872,0.918,Puducherry,India
1847-11-01,25.227,1.029,Puducherry,India
